char_ngram_range,char_max_features,char_min_df,word_ngram_range,word_max_features,word_min_df,word_max_df,loss,alpha,penalty,max_iter,tol,class_weight,val_macro_f1,val_micro_f1,val_subset_acc,seconds
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7670723295380802,0.8364103916655677,0.6244771013140502,472.3
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7670670200470423,0.8362898708975982,0.6242438379597232,502.4
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7664895635282111,0.8364891853191649,0.624834771790685,465.17
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7662048697346383,0.8359187055406213,0.6238239639219345,475.6
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7660564386442594,0.8363008250615384,0.6243215924111656,502.6
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7654055323197997,0.8359688725478658,0.6240261254956846,470.96
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7652938447126107,0.8358312869871197,0.6236529041287614,508.36
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7649756930618921,0.8357228870324377,0.6233263354327035,509.48
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7587005544131499,0.832425790172269,0.6170437757561621,464.24
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7582717616908461,0.8319560002998276,0.6152243215924111,497.09
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7578219490421562,0.832382846208682,0.6168571650727004,458.6
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7577844637565847,0.8321984093880784,0.6159552134359693,490.0
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7577564789041072,0.8318706047819971,0.6160796205582769,469.01
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7577502506592707,0.8318232313526233,0.6157686027525076,486.65
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7572626710642236,0.8313327465777794,0.614089106601353,514.79
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7566527823100139,0.8313693544384987,0.6139802503693337,504.32
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7463160198242398,0.8197352497278203,0.5941528652515357,1917.96
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7462645280317647,0.8194832239207374,0.5932664645050929,698.69
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7462215832201667,0.8198104743747897,0.5942772723738434,909.01
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7461998373720077,0.8198473924481223,0.5945571883990358,998.49
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7461909064630418,0.8194209029655259,0.5928932431381697,1976.77
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7461887972939669,0.8197283520303513,0.5942928232641319,1235.37
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7456462715378467,0.8192363889290866,0.5927688360158619,1303.53
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7455420254730997,0.8193298692325289,0.5927221833449965,787.96
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.738436800101157,0.8140469937481116,0.5838737267708576,684.23
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7381709139231575,0.8139752115660769,0.5835627089650882,615.09
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7381665813484589,0.8140024443401443,0.5835938107456652,762.91
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7380974473431112,0.8139358700855654,0.5837026669776845,582.8
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7379109272732903,0.8140353160456069,0.583920379441723,534.09
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7378443315244262,0.8139505696529091,0.5839048285514346,508.99
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,1e-05,balanced,0.7369407723537362,0.8140653538879103,0.583687116087396,1072.53
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.0001,l2,8000,0.0001,balanced,0.7368902496690288,0.8140562902363632,0.5838426249902807,926.48
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7326614625753244,0.8003382522395271,0.5602363735323848,520.67
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7306361194252107,0.7996993192922867,0.5584169193686338,455.06
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7304555378913206,0.7997641279466595,0.5593966254568074,496.89
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7303956531690775,0.7997065297138665,0.5593655236762305,458.11
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7303408537481494,0.7998718377354285,0.5592411165539227,499.16
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7299474637088101,0.799747479436285,0.5587901407355571,460.72
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7289537296640037,0.798382984247077,0.5571261954746909,506.15
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7285561955523897,0.7981874959459585,0.5566441178757484,451.65
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7283776914047295,0.7995394165633604,0.5591011585413265,505.15
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.727235011920917,0.7991688465891171,0.5582769613560377,451.28
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7266816608898282,0.797760146729842,0.5566285669854599,451.44
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7265221646848602,0.7978112707509973,0.5567374232174792,517.48
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7246091708174615,0.7970973579107641,0.5547935619314206,496.93
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7245109504240635,0.7969968636376252,0.554575849467382,448.63
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7243679255937145,0.7974940847992072,0.5563019982894021,479.82
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7241498883031089,0.7973746088759697,0.5559909804836327,435.43
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.715001183443445,0.7862892803072264,0.5354327035222767,1399.08
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7147390417946404,0.7861794767720748,0.534748464349584,883.04
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7143292137951373,0.7862238917551939,0.5352927455096804,874.55
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7137700740210385,0.7860678615090074,0.5348884223621803,1198.8
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7128624360779975,0.7855605385299662,0.533955368944872,561.35
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7127935797369268,0.7855074602091441,0.533986470725449,625.15
